data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,drive_pipe_id_in,no_check_valve,check_valve_in,waste_valve_in,air_chamber_vol_gal,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,6.25,9.93,0.1585
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,6.30,10.02,0.1545
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,32.57,51.78,0.7236
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,30.78,48.93,0.7331
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,31.56,50.17,0.7053
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,24.57,39.05,0.4517
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,21.82,34.69,0.4779
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,20.68,32.87,0.4359
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.97,23.79,0.3487
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,13.39,21.28,0.2695
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,12.88,20.47,0.2695
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.17,12.99,0.1664
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.78,12.37,0.1545
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.51,11.94,0.1577
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,28.08,44.64,0.6499
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,27.95,44.42,0.6578
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,28.52,45.34,0.6736
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,22.10,35.13,0.4834
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,21.07,33.49,0.4676
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,21.47,34.13,0.4811
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.14,22.48,0.3329
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,13.95,22.17,0.3249
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,13.89,22.09,0.3210
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.87,12.50,0.1942
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.26,11.53,0.1823
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.32,11.63,0.1783
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,29.05,46.18,0.6816
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,29.24,46.47,0.6974
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,28.38,45.11,0.6657
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,22.49,35.75,0.5151
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,22.94,36.47,0.5120
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,22.69,36.07,0.5001
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,15.22,24.20,0.3487
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.50,23.05,0.3400
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.76,23.45,0.3416
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.58,13.63,0.2037
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.23,13.08,0.1989
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.97,12.66,0.1942
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,17.21,27.35,0.3788
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,17.56,27.92,0.3883
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,16.03,25.48,0.3329
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,15.49,24.63,0.3487
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,15.31,24.34,0.3725
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,15.54,24.70,0.3646
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,15.99,25.42,0.4676
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,16.49,26.21,0.4914
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,18.29,29.07,0.4612
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.82,14.03,0.2378
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.82,14.03,0.2378
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.82,14.03,0.2378
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,14.77,23.48,0.3297
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,15.82,25.15,0.3725
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,20.27,32.21,0.4834
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,18.52,29.44,0.4755
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,16.82,26.73,0.4486
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,13.75,21.86,0.3487
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.67,23.31,0.4359
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,14.52,23.08,0.4200
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,15.34,24.39,0.4597
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,11.36,18.05,0.3249
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,9.87,15.69,0.2742
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.66,13.77,0.2330
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,18.15,28.85,0.4042
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,17.25,27.43,0.3883
bhakta_2026,76.75,122,1,55.91,0.75,1,2,0.75,0.306,16.67,26.49,0.3725
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,12.43,19.77,0.2813
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,12.37,19.67,0.2798
bhakta_2026,76.75,122,2,55.91,0.75,1,2,0.75,0.306,12.28,19.52,0.2774
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,11.36,18.05,0.3249
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,10.59,16.83,0.2956
bhakta_2026,76.75,122,3,55.91,0.75,1,2,0.75,0.306,10.74,17.07,0.3051
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,10.81,17.18,0.2901
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,10.19,16.19,0.2877
bhakta_2026,76.75,122,4,55.91,0.75,1,2,0.75,0.306,10.17,16.17,0.2782
bhakta_2026,76.75,122,5,55.91,0.75,1,2,0.75,0.306,29.05,46.18,0.6816
bhakta_2026,76.75,122,6,55.91,0.75,1,2,0.75,0.306,29.24,46.47,0.6974
bhakta_2026,76.75,122,7,55.91,0.75,1,2,0.75,0.306,28.38,45.11,0.6657
bhakta_2026,76.75,122,8,55.91,0.75,1,2,0.75,0.306,22.49,35.75,0.5151
bhakta_2026,76.75,122,9,55.91,0.75,1,2,0.75,0.306,22.94,36.47,0.5120
bhakta_2026,76.75,122,10,55.91,0.75,1,2,0.75,0.306,22.69,36.07,0.5001
bhakta_2026,76.75,122,11,55.91,0.75,1,2,0.75,0.306,15.22,24.20,0.3487
bhakta_2026,76.75,122,12,55.91,0.75,1,2,0.75,0.306,14.50,23.05,0.3400
bhakta_2026,76.75,122,13,55.91,0.75,1,2,0.75,0.306,14.76,23.45,0.3416
bhakta_2026,76.75,122,14,55.91,0.75,1,2,0.75,0.306,8.58,13.63,0.2037
bhakta_2026,76.75,122,15,55.91,0.75,1,2,0.75,0.306,8.23,13.08,0.1989
bhakta_2026,76.75,122,16,55.91,0.75,1,2,0.75,0.306,7.97,12.66,0.1942
celerinos_2022,59.055,387.01,1,188.98,0.984252,1,0.984252,0.984252,5.283,12.83,84.06,0.12416084
celerinos_2022,70.866,410.63,1,224.41,0.984252,1,0.984252,0.984252,5.283,11.25,65.6,0.11095224
celerinos_2022,78.740,450.79,1,251.97,0.984252,1,0.984252,0.984252,5.283,10.59,60.6,0.1056688
celerinos_2022,90.551,533.86,1,287.40,0.984252,1,0.984252,0.984252,5.283,9.95,58.63,0.10831052
celerinos_2022,98.425,586.61,1,314.96,0.984252,1,0.984252,0.984252,5.283,8.97,53.45,0.10038536
celerinos_2022,59.055,429.13,1,244.09,0.984252,1,0.984252,0.984252,5.283,11.64,84.61,0.12680256
celerinos_2022,70.866,523.62,1,295.28,0.984252,1,0.984252,0.984252,5.283,10.32,76.23,0.11359396
celerinos_2022,78.740,576.77,1,326.77,0.984252,1,0.984252,0.984252,5.283,9.44,69.15,0.1056688
celerinos_2022,90.551,600.39,1,374.02,0.984252,1,0.984252,0.984252,5.283,8.51,56.42,0.10038536
celerinos_2022,98.425,588.58,1,409.45,0.984252,1,0.984252,0.984252,5.283,7.49,33.76,0.09510192
chuan_2018,39.370,196.85,1,,,,,,0.136,,,
chuan_2018,39.370,393.70,1,,,,,,0.272,,,
chuan_2018,39.370,590.55,1,,,,,,0.408,,,
chuan_2018,39.370,787.40,1,,,,,,0.544,,,
chuan_2018,39.370,984.25,1,,,,,,0.680,,,
sarip_2020,78.740,787.40,1,1476.377953,3,1,1,3,8.797,62,,23.40564384
metra_2020,120.000,814.8,1,120,2,1,2,1.5,3.371,,0,0
metra_2020,120.000,814.8,1,120,2,1,2,2,3.371,,13.83,0.274
metra_2020,120.000,814.8,1,120,2,1,2,2.5,3.371,,63.98,1.39
metra_2020,120.000,814.8,1,120,2,1,2,3,3.371,,74.36,1.71
metra_2020,120.000,814.8,1,120,2,1,2,3.5,3.371,,81.71,1.84
metra_2020,120.000,814.8,1,120,2,1,2,4,3.371,,84.3,1.95
metra_2020,120.000,814.8,1,120,2,1,2,4.5,3.371,,61.82,1.41
metra_2020,120.000,814.8,1,120,2,1,2,5,3.371,,9.07,0.21
metra_2020,120.000,814.8,1,120,2,1,2,5.5,3.371,,0,0
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,0.268,15,,3.123
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,1.205,14.4,,2.858
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,1.070,13.1,,2.695
rahman_2025,,,1,,0.75,1,1,1,0.792516157,,,
effah_2021,24,72,1,,0.75,,,,,36.46,,1.672
effah_2021,24,96,1,,0.75,,,,,39.4,,1.355
effah_2021,24,120,1,,0.75,,,,,35.65,,0.981
effah_2021,24,144,1,,0.75,,,,,37.54,,0.861
effah_2021,24,168,1,,0.75,,,,,16.8,,0.330
effah_2021,28.8,72,1,,0.75,,,,,4.71,,0.259
effah_2021,28.8,96,1,,0.75,,,,,5.48,,0.226
effah_2021,28.8,120,1,,0.75,,,,,5,,0.165
effah_2021,28.8,144,1,,0.75,,,,,4.88,,0.134
effah_2021,28.8,168,1,,0.75,,,,,0,,0.000
effah_2021,33.6,72,1,,0.75,,,,,15.87,,1.019
effah_2021,33.6,96,1,,0.75,,,,,18,,0.867
effah_2021,33.6,120,1,,0.75,,,,,19.37,,0.746
effah_2021,33.6,144,1,,0.75,,,,,0,,0.000
effah_2021,33.6,168,1,,0.75,,,,,0,,0.000
effah_2021,48,72,1,,0.75,,,,,13.94,,1.279
effah_2021,48,96,1,,0.75,,,,,38.304,,2.635
effah_2021,48,120,1,,0.75,,,,,21.51,,1.184
effah_2021,48,144,1,,0.75,,,,,17.79,,0.816
effah_2021,48,168,1,,0.75,,,,,32.57,,1.281
effah_2021,62.4,72,1,,0.75,,,,,13.01,,1.551
effah_2021,62.4,96,1,,0.75,,,,,12.09,,1.081
effah_2021,62.4,120,1,,0.75,,,,,21.51,,1.539
effah_2021,62.4,144,1,,0.75,,,,,9.44,,0.563
effah_2021,62.4,168,1,,0.75,,,,,10.27,,0.525
effah_2021,84,72,1,,0.75,,,,,,,
effah_2021,84,96,1,,0.75,,,,,,,
effah_2021,84,120,1,,0.75,,,,,,,
effah_2021,84,144,1,,0.75,,,,,,,
effah_2021,84,168,1,,0.75,,,,,,,
zuniga_2018,31.496,118,1,63.39,0.83,1,,,,13.554,,0.176
zuniga_2018,31.496,118,1,81.50,0.83,1,,,,14.317,,0.195
zuniga_2018,31.496,118,1,100.79,0.83,1,,,,15.004,,0.184
zuniga_2018,31.496,138,1,63.39,0.83,1,,,,11.537,,0.162
zuniga_2018,31.496,138,1,81.50,0.83,1,,,,11.659,,0.152
zuniga_2018,31.496,138,1,100.79,0.83,1,,,,12.727,,0.154
zuniga_2018,31.496,157,1,63.39,0.83,1,,,,9.889,,0.139
zuniga_2018,31.496,157,1,81.50,0.83,1,,,,10.017,,0.125
zuniga_2018,31.496,157,1,100.79,0.83,1,,,,10.552,,0.127
zuniga_2018,31.496,177,1,63.39,0.83,1,,,,7.947,,0.113
zuniga_2018,31.496,177,1,81.50,0.83,1,,,,7.992,,0.106
zuniga_2018,31.496,177,1,100.79,0.83,1,,,,9.027,,0.117
zuniga_2018,31.496,197,1,63.39,0.83,1,,,,6.982,,0.098
zuniga_2018,31.496,197,1,81.50,0.83,1,,,,7.167,,0.094
zuniga_2018,31.496,197,1,100.79,0.83,1,,,,9.027,,0.094
jafri_2020,39.370,394,1,55.12,3,1,0.6,2,1.717,36.29,,
jafri_2020,39.370,394,1,55.12,3,1,1,2,1.717,45.36,,
jafri_2020,39.370,394,1,55.12,3,1,1.4,2,1.717,50.81,,
jafri_2020,39.370,394,1,55.12,3,1,1.8,2,1.717,40.44,,
jafri_2020,39.370,394,1,55.12,3,1,2.2,2,1.717,51.53,,
jafri_2020,39.370,394,1,55.12,3,1,0.6,2.25,1.717,36.15,,
jafri_2020,39.370,394,1,55.12,3,1,1,2.25,1.717,42.68,,
jafri_2020,39.370,394,1,55.12,3,1,1.4,2.25,1.717,57.32,,
jafri_2020,39.370,394,1,55.12,3,1,1.8,2.25,1.717,40.23,,
jafri_2020,39.370,394,1,55.12,3,1,2.2,2.25,1.717,52.01,,
jafri_2020,39.370,394,1,55.12,3,1,0.6,2.5,1.717,42.6,,
jafri_2020,39.370,394,1,55.12,3,1,1,2.5,1.717,57.01,,
jafri_2020,39.370,394,1,55.12,3,1,1.4,2.5,1.717,61.55,,
jafri_2020,39.370,394,1,55.12,3,1,1.8,2.5,1.717,55.89,,
jafri_2020,39.370,394,1,55.12,3,1,2.2,2.5,1.717,59.55,,
jafri_2020,39.370,394,1,55.12,3,1,0.6,2.75,1.717,43.68,,
jafri_2020,39.370,394,1,55.12,3,1,1,2.75,1.717,57.18,,
jafri_2020,39.370,394,1,55.12,3,1,1.4,2.75,1.717,59.8,,
jafri_2020,39.370,394,1,55.12,3,1,1.8,2.75,1.717,57.3,,
jafri_2020,39.370,394,1,55.12,3,1,2.2,2.75,1.717,67.67,,
